date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:21	836/836	---M--	200	added ('OK')	text/plain	etag:%22344-6141dc18b4180%22	http://localhost/robots.txt		(from )
20:52:22	35977/35977	---MC-	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2018:52:22%20GMT	http://localhost/	C:/My%20Web%20Sites/HHG%20Sionskerk%20Website/localhost/index.html	(from )
20:52:22	5163/5163	---M--	200	added ('OK')	image/png	etag:%22142b-61480654a4700%22	http://localhost/images/logos/church-solid-red.png	C:/My%20Web%20Sites/HHG%20Sionskerk%20Website/localhost/images/logos/church-solid-red.png	(from http://localhost/)
20:52:22	3964/3964	---M-Z	200	added ('OK')	text/css	etag:%223bf-6141dc57a5600%22	http://localhost/media/vendor/joomla-custom-elements/css/joomla-alert.min.css?0.2.0	C:/My%20Web%20Sites/HHG%20Sionskerk%20Website/localhost/media/vendor/joomla-custom-elements/css/joomla-alert.min44b7.css	(from http://localhost/)
20:52:23	162674/162674	---M--	200	added ('OK')	text/css	etag:%2227b72-6141dc223d800%22	http://localhost/templates/poc_grant/css/bootstrap.min.css	C:/My%20Web%20Sites/HHG%20Sionskerk%20Website/localhost/templates/poc_grant/css/bootstrap.min.css	(from http://localhost/)
20:52:23	122604/122604	---M--	200	added ('OK')	text/css	etag:%221deec-6141dc223d800%22	http://localhost/templates/poc_grant/css/template.css	C:/My%20Web%20Sites/HHG%20Sionskerk%20Website/localhost/templates/poc_grant/css/template.css	(from http://localhost/)
20:52:25	4031/4031	---M--	200	added ('OK')	text/css	etag:%22fbf-6141dc223d800%22	http://localhost/templates/poc_grant/css/presets/default.css	C:/My%20Web%20Sites/HHG%20Sionskerk%20Website/localhost/templates/poc_grant/css/presets/default.css	(from http://localhost/)
20:52:26	26/26	---M-Z	200	added ('OK')	text/javascript	etag:%222e-6141dc8ef5880%22	http://localhost/media/legacy/js/jquery-noconflict.min.js?04499b98c0305b16b373dff09fe79d1290976288	C:/My%20Web%20Sites/HHG%20Sionskerk%20Website/localhost/media/legacy/js/jquery-noconflict.minaad7.js	(from http://localhost/)
20:52:28	7706/7706	---M-Z	200	added ('OK')	text/javascript	etag:%22c5b-6141dc79fa700%22	http://localhost/media/system/js/core.min.js?576eb51da909dcf692c98643faa6fc89629ead18	C:/My%20Web%20Sites/HHG%20Sionskerk%20Website/localhost/media/system/js/core.min7335.js	(from http://localhost/)
20:52:29	24846/24846	---M--	200	added ('OK')	image/png	etag:%22610e-6141dd2974500%22	http://localhost/images/demo_img/bg/fpattern.png	C:/My%20Web%20Sites/HHG%20Sionskerk%20Website/localhost/images/demo_img/bg/fpattern.png	(from http://localhost/)
